Instrument  Average Spreads in pips*  Leverage *  Minimum Lot Size  Maximum Lot size  Value of 1 lot
AUDUSD  0.8  up to 1:2000  0.01  1000  100000 AUD
EURUSD  0.8  up to 1:2000  0.01  1000  100000 EUR
GBPUSD  0.8  up to 1:2000  0.01  1000  100000 GBP
NZDUSD  0.8  up to 1:2000  0.01  1000  100000 NZD
USDCAD  0.8  up to 1:2000  0.01  1000  100000 USD
USDCHF  0.8  up to 1:2000  0.01  1000  100000 USD
USDJPY  0.8  up to 1:2000  0.01  1000  100000 USD
AUDCAD  2.2  up to 1:2000  0.01  1000  100000 AUD
AUDCHF  2.3  up to 1:2000  0.01  1000  100000 AUD
AUDJPY  2.5  up to 1:2000  0.01  1000  100000 AUD
